Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_158298865,2 Beds,2 Baths,,"('1,033.34 Sqft', ' sqft')",Condominium,"374,319 ",Mexico
l_141992475,2 Beds,2 Baths,,"('888.24 Sqft', ' sqft')",Residential,"349,000 ",Mexico
l_159016471,,,,,Residential,"360,000 ",Mexico
l_156228151,2 Beds,2 Baths,,"('111 Sqft', ' sqft')",Condominium,"337,700 ",Mexico
l_160741822,1 Bed,1 Bath,,"('538 Sqft', ' sqft')",Residential,"140,650 ",Mexico
l_134859483,4 Beds,4 Baths,0.167 ac Lot Size,"('5,483.56 Sqft', ' sqft')",Residential,"999,000 ",Mexico
l_158013888,3 Beds,3 Baths,,"('2,584 Sqft', ' sqft')",Residential,"842,000 ",Mexico
l_146312978,5 Beds,5 Baths,0.242 ac Lot Size,"('546.5 Sqft', ' sqft')",Residential,"1,825,000 ",Mexico
l_142582046,1 Bed,1 Bath,,"('570.49 Sqft', ' sqft')",Residential,"175,000 ",Mexico
l_152258832,2 Beds,2 Baths,,"('1,195 Sqft', ' sqft')",Condominium,"264,900 ",Mexico
l_153191773,3 Beds,3 Baths,,"('1,700.7 Sqft', ' sqft')",Residential,"358,600 ",Mexico
l_153505373,2 Beds,2 Baths,,"('875.86 Sqft', ' sqft')",Condominium,"209,847.439052 ",Mexico
l_153189982,,,750 ac Lot Size,,Farm and Ranch,"2,650,000  42.3",Mexico
l_160823787,2 Beds,2 Baths,,"('1,240 Sqft', ' sqft')",Residential,"310,000 ",Mexico
l_158162600,2 Beds,2 Baths,0.031 ac Lot Size,"('1,043.72 Sqft', ' sqft')",Condominium,"497,266 ",Mexico
l_143941205,1 Bed,1 Bath,,"('312.15 Sqft', ' sqft')",Condominium,"162,283  2.7",Mexico
l_157719478,2 Beds,2 Baths,,"('1,502.6 Sqft', ' sqft')",Residential,"399,000 ",Mexico
l_159896251,,,0.101 ac Lot Size,,Lots and Land,"77,000  19.9",Mexico
l_157861323,2 Beds,2 Baths,0.036 ac Lot Size,"('1,119.04 Sqft', ' sqft')",Condominium,"549,639 ",Mexico
l_152768775,2 Beds,2 Baths,,"('1,280 Sqft', ' sqft')",Condominium,"530,000 ",Mexico
l_154077960,2 Beds,2 Baths,,"('936.46 Sqft', ' sqft')",Residential,"140,633.885744 ",Mexico
l_153391531,1 Bed,1 Bath,,"('678.13 Sqft', ' sqft')",Condominium,"265,974.960885 ",Mexico
l_153392270,3 Beds,3 Baths,,"('2,045.14 Sqft', ' sqft')",Condominium,"545,400 ",Mexico
l_156968299,2 Beds,2 Baths,"2,367.52 ac Lot Size","('1,256.77 Sqft', ' sqft')",Condominium,"440,000 ",Mexico
l_155194810,2 Beds,2 Baths,,"('1,540.85 Sqft', ' sqft')",Condominium,"319,000 ",Mexico
l_151657845,2 Beds,2 Baths,,"('1,201 Sqft', ' sqft')",Residential,"199,000 ",Mexico
l_142118771,1 Bed,1 Bath,,"('731.95 Sqft', ' sqft')",Residential,"135,999 ",Mexico
l_158973206,2 Beds,2 Baths,,"('936.46 Sqft', ' sqft')",Residential,"189,000 ",Mexico
l_154030714,2 Beds,2 Baths,,"('925 Sqft', ' sqft')",Residential,"172,000 ",Mexico
l_158162557,2 Beds,2 Baths,0.032 ac Lot Size,"('1,108.28 Sqft', ' sqft')",Condominium,"475,057 ",Mexico
l_155031463,4 Beds,4 Baths,,"('3,326.05 Sqft', ' sqft')",Residential,"515,757.534073 ",Mexico
l_158716159,4 Beds,4 Baths,0.1 ac Lot Size,"('291 Sqft', ' sqft')",Residential,"565,333 ",Mexico
l_146390841,,,0.639 ac Lot Size,,Lots and Land,"515,000 ",Mexico
l_143737186,4 Beds,4 Baths,,"('2,691 Sqft', ' sqft')",Residential,"550,000  8.9",Mexico
l_135990424,2 Beds,2 Baths,,"('2,136.96 Sqft', ' sqft')",Residential,"309,000  53.7",Mexico
l_158851921,3 Beds,3 Baths,,"('971.55 Sqft', ' sqft')",Residential,"749,000 ",Mexico
l_154756073,1 Bed,1 Bath,,"('484.38 Sqft', ' sqft')",Condominium,"263,720 ",Mexico
l_156162850,,,0.371 ac Lot Size,,Lots and Land,"1,000,000 ",Mexico
l_158774806,1 Bed,1 Bath,,"('603 Sqft', ' sqft')",Condominium,"211,555 ",Mexico
l_114764979,3 Beds,3 Baths,,"('2,906 Sqft', ' sqft')",Residential,"364,108 ",Mexico
l_142442492,1 Bed,1 Bath,,"('354.13 Sqft', ' sqft')",Residential,"121,680 ",Mexico
l_154353868,1 Bed,1 Bath,,"('705.04 Sqft', ' sqft')",Residential,"152,846.244518 ",Mexico
l_111965379,2 Beds,2 Baths,,"('1,071 Sqft', ' sqft')",Condominium,"308,000 ",Mexico
l_145479903,1 Bed,1 Bath,,"('430.56 Sqft', ' sqft')",Residential,"75,000 ",Mexico
l_154308949,1 Bed,2 Baths,,"('747.23 Sqft', ' sqft')",Residential,"227,308.489011 ",Mexico
l_143028182,1 Bed,1 Bath,,"('538.2 Sqft', ' sqft')",Residential,"113,000 ",Mexico
l_125089223,2 Beds,1 Bath,,"('1,059.59 Sqft', ' sqft')",Condominium,"424,926.29 ",Mexico
